기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_1_유동인구_수,시간대_2_유동인구_수,시간대_3_유동인구_수,시간대_4_유동인구_수,시간대_5_유동인구_수,시간대_6_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
2018,4,A,골목상권,1000131,광나루로40길,1782916,851365,931552,138464,402407,384586,318490,298112,240869,323107,336493,289391,298068,342233,193623,246209,239290,244296,239415,246240,286729,280741
2018,4,A,골목상권,1000132,광나루로52길,2229733,1082899,1146834,220208,527722,439147,408642,358621,275403,350965,359289,360922,381700,511174,265691,305401,294848,303569,298155,314889,375280,337598
2018,4,A,골목상권,1000133,긴고랑로20길,2670175,1360419,1309748,122510,619209,546941,445491,513938,422090,445234,445780,407864,418923,600991,351372,378723,372885,377965,370455,389611,392379,388156
2018,4,A,골목상권,1000134,긴고랑로7길,1514777,775238,739531,59064,304455,300307,262690,330747,257506,314482,266562,220402,224645,307681,181009,213860,207635,210455,205070,215691,229553,232520
2018,4,A,골목상권,1000135,긴고랑로8길,1016523,526250,490274,17876,233180,226406,172927,216732,149403,191429,175646,152141,151954,217174,128188,142387,142150,142064,140549,146451,152180,150752
2018,4,A,골목상권,1000136,긴고랑로9길,1528029,780103,747915,65839,312723,299307,262200,330612,257340,298365,262804,230997,230173,321115,184573,215758,210129,213130,207376,217748,228726,235160
2018,4,A,골목상권,1000137,능동로13길,4158724,2139511,2019210,289211,2294889,670899,366428,333144,204154,776645,513142,481569,553005,1071273,763088,545229,558277,550971,551161,623284,714612,615182
2018,4,A,골목상권,1000138,능동로19길,2441374,1250166,1191198,160408,1334526,384504,218192,211776,131971,462512,365736,321023,342331,566186,383582,330615,340709,337879,337659,351844,388023,354634
2018,4,A,골목상권,1000139,능동로34길,1886522,951527,935009,77314,544868,424460,287872,308374,243645,254525,279263,301484,318352,474030,258871,265624,266136,270486,266808,279578,280503,257401
2018,4,A,골목상권,1000140,능동로3길,1411084,717630,693460,56250,296454,279709,244493,293952,240222,279493,248470,190439,205303,302207,185166,195637,193713,193468,189739,195965,218590,223968
2018,4,A,골목상권,1000141,능동로4길,1399139,694808,704335,95836,272860,283053,257253,260073,230058,265430,255755,193502,207257,297803,179397,193317,193004,194464,187651,196181,214992,219538
